miner,epoch,param.penalty,param.gasreward,param.wincount,block_reward,total_reward,penalty,reward_payable
t01002,178,0,0,1,5492035185939536051,5492035185939536051,0,5492035185939536051
t01001,179,0,2251228,1,5492034683384930195,5492034683387181423,0,5492034683387181423
t01000,179,0,0,1,5492034683384930195,5492034683384930195,0,5492034683384930195
t01000,180,0,0,3,16476102542491111000,16476102542491111000,0,16476102542491111000
t01002,180,0,0,2,10984068361660740667,10984068361660740667,0,10984068361660740667
t01001,181,0,9800402,1,5492033678275856466,5492033678285656868,0,5492033678285656868
t01001,182,0,21758338,1,5492033175721388592,5492033175743146930,0,5492033175743146930
t01000,182,0,0,1,5492033175721388592,5492033175721388592,0,5492033175721388592
t01002,182,0,0,5,27460165878606942962,27460165878606942962,0,27460165878606942962
t01000,183,0,5385447,4,21968130692667866852,21968130692673252299,0,21968130692673252299
t01002,183,0,0,2,10984065346333933426,10984065346333933426,0,10984065346333933426
t01001,183,0,0,3,16476098019500900139,16476098019500900139,0,16476098019500900139
t01001,184,0,1765982,2,10984064341225181655,10984064341226947637,0,10984064341226947637
t01000,184,0,0,2,10984064341225181655,10984064341225181655,0,10984064341225181655
t01000,185,0,0,1,5492031668058260936,5492031668058260936,0,5492031668058260936
t01002,185,0,0,3,16476095004174782810,16476095004174782810,0,16476095004174782810
t01000,186,0,42531143,1,5492031165503977039,5492031165546508182,0,5492031165546508182
t01001,186,0,0,1,5492031165503977039,5492031165503977039,0,5492031165503977039
t01002,186,0,0,5,27460155827519885199,27460155827519885199,0,27460155827519885199
t01002,187,0,28286015,2,10984061325899478274,10984061325927764289,0,10984061325927764289
t01000,187,0,0,2,10984061325899478274,10984061325899478274,0,10984061325899478274
t01002,188,0,25374228,1,5492030160395547228,5492030160420921456,0,5492030160420921456
t01000,188,0,0,3,16476090481186641685,16476090481186641685,0,16476090481186641685
t01001,188,0,0,2,10984060320791094456,10984060320791094456,0,10984060320791094456
t01001,189,0,25875989,1,5492029657841401313,5492029657867277302,0,5492029657867277302
t01002,189,0,0,2,10984059315682802627,10984059315682802627,0,10984059315682802627
t01000,190,0,35410453,1,5492029155287301393,5492029155322711846,0,5492029155322711846
t01002,190,0,0,3,16476087465861904180,16476087465861904180,0,16476087465861904180
t01001,190,0,0,1,5492029155287301393,5492029155287301393,0,5492029155287301393
t01002,191,0,60042532,3,16476085958199742401,16476085958259784933,0,16476085958259784933
t01001,191,0,0,1,5492028652733247467,5492028652733247467,0,5492028652733247467
t01000,191,0,0,1,5492028652733247467,5492028652733247467,0,5492028652733247467
t01002,192,0,24810568,2,10984056300358479070,10984056300383289638,0,10984056300383289638
t01000,192,0,0,2,10984056300358479070,10984056300358479070,0,10984056300358479070
t01002,193,0,27449989,1,5492027647625277596,5492027647652727585,0,5492027647652727585
t01001,193,0,0,4,21968110590501110387,21968110590501110387,0,21968110590501110387
t01002,194,0,66182718,3,16476081435214084959,16476081435280267677,0,16476081435280267677
t01000,195,0,48771371,3,16476079927552475109,16476079927601246480,0,16476079927601246480
